URL,Product Name,Brand,Sale Price,MRP
https://www.adidas.co.inhttps://www.adidas.co.in/run-60s-3.0-ikd-shoes/JL2237.html,Run 60s 3.0 IKD Shoes,Adidas,₹3 599.50,"₹5 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/acteve-comfort-on-slides/JK8121.html,Acteve Comfort On Slides,Adidas,₹2 279.50,"₹3 799.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/yard-cricket-shoes/JK0165.html,Yard Cricket Shoes,Adidas,₹2 579.50,"₹4 299.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/yard-cricket-shoes/JK0164.html,Yard Cricket Shoes,Adidas,₹2 579.50,"₹4 299.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/aero-turbo-thrive-shoes/JK7235.html,Aero Turbo Thrive Shoes,Adidas,₹2 999.50,"₹4 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/forty-ninerz-sneakers/JK8300.html,Forty Ninerz Sneakers,Adidas,₹2 999.50,"₹4 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/superstar-ii-shoes/JH7756.html,Superstar II Shoes,Adidas,₹7 199.50,"₹11 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/adilette-comfort-slides/JR9229.html,Adilette Comfort Slides,Adidas,₹2 759.50,"₹4 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/duramo-sl2-shoes/JL2649.html,Duramo SL2 Shoes,Adidas,₹4 199.50,"₹6 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/dashjazz-shoes/JJ5443.html,DashJazz Shoes,Adidas,₹3 179.50,"₹5 299.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/predator-league-fold-over-tongue-firm-multi-ground-boots/JI1111.html,Predator League Fold-Over Tongue Firm/Multi-Ground Boots,Adidas,₹5 999.50,"₹9 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/copa-pure-3-league-firm-multi-ground-boots/JH6300.html,Copa Pure 3 League Firm/Multi-Ground Boots,Adidas,₹5 159.50,"₹8 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/cricket-triumph-shoes/JK7459.html,Cricket Triumph Shoes,Adidas,₹2 759.50,"₹4 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/sl-72-og-shoes/JS3978.html,SL 72 OG Shoes,Adidas,₹6 599.50,"₹10 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/meridian-flip-flops/JK8102.html,Meridian Flip Flops,Adidas,₹1 799.50,"₹2 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/supernova-rise-2-running-shoes/JS3047.html,Supernova Rise 2 Running Shoes,Adidas,₹8 999.50,"₹14 999.00 
-40%
Discount"
